Coordinate,Rod_Number,Broken,Recessed,Excessed,Glue_on_Fibers
2_L_26P,,,,,
2_L_27P,,,,,
2_L_28P,,,,,
2_L_29S,,,,,
2_L_30S,,,,,
2_L_31S,,,,,
2_L_32S,,,,,
3_M_1P,434,,,,
3_M_2P,430,,,,
3_M_3P,431,,,,
3_M_4P,52,cracked(ch),,,
3_M_5S,434,,,,
3_M_6S,430,,,,
3_M_7S,431,,,,
3_M_8S,52,,,,
3_M_9P,68,,,,
3_M_10P,72,,,,
3_M_11P,62,,,,
3_M_12P,18,,,x,
3_M_13S,68,,,,
3_M_14S,72,,,,
3_M_15S,62,,,x,
3_M_16S,18,,,,
3_M_17P,82,,,,
3_M_18P,101,,,x,
3_M_19P,32,,,,
3_M_20P,453,,,,
3_M_21S,82,,,,
3_M_22S,101,,,,
3_M_23S,32,,,,
3_M_24S,453,,,x,
3_M_25P,24,,,,
3_M_26P,126,,,,
3_M_27P,172,,,x,
3_M_28P,133,,,,
3_M_29S,24,,,,
3_M_30S,126,,x,,
3_M_31S,172,,,,
3_M_32S,133,,,x,
3_N_1Q,267,x,,,
3_N_2Q,369,x,,,
3_N_3P,445,,,,
3_N_4P,207,,,,
3_N_5S,267,,,,
3_N_6S,369,,,,
3_N_7S,445,,,,
3_N_8S,207,,,,
3_N_9Q,257,,,,
3_N_10Q,332,,,,
3_N_11P,58,,,,
3_N_12P,64,,,,
3_N_13S,257,,,,
3_N_14S,332,,x,,
3_N_15S,58,,,,
3_N_16S,64,,,,
3_N_17Q,315,,,x,
3_N_18Q,326,,,,
3_N_19P,38,,,,
3_N_20P,76,64,,,
3_N_21S,315,x,,,
3_N_22S,326,x,,,
3_N_23S,38,,,,
3_N_24S,76,64,,,
3_N_25Q,261,,,,x
3_N_26P,100,,,,
3_N_27P,42,,,,
3_N_28P,40,,,,
3_N_29S,261,x,,,
3_N_30S,100,,,,
3_N_31S,42,,,,
3_N_32S,40,,,,
3_O_1P,112,,,,
3_O_2P,36,,,,
3_O_3P,34,,,,
3_O_4P,10,,,,
3_O_5S,112,,,,
3_O_6S,36,,,,
3_O_7S,34,,,,
3_O_8S,10,,,,
3_O_9P,108,,,,
3_O_10P,124,,,,
3_O_11P,117.5,,,,
3_O_12P,136,,,,
3_O_13S,108,,,,
3_O_14S,124,,,,
3_O_15S,117.5,,,,
3_O_16S,136,,,,
3_O_17P,44,,,,
3_O_18P,46,,,,
3_O_19P,119,,,,
3_O_20P,,,,,
3_O_21S,44,,,,
3_O_22S,46,,,,
3_O_23S,119,,,,
3_O_24S,,,,,
3_O_25P,167,,,,
3_O_26P,437,,,,
3_O_27P,190,,,x,
3_O_28P,,,,,
3_O_29S,167,,,,
3_O_30S,437,,,,
3_O_31S,190,,,x,
3_O_32S,,,,,
3_P_1Q,274,,,,
3_P_2Q,363,,,,
3_P_3Q,367,,,,
3_P_4Q,368,,,,
3_P_5S,274,,,,
3_P_6S,363,,,,
3_P_7S,367,,,,
3_P_8S,368,,,,
3_P_9Q,339,,,,
3_P_10Q,270,,,,
3_P_11Q,281,,,,
3_P_12Q,272,,,,
3_P_13S,339,,,,
3_P_14S,270,,,,
3_P_15S,281,,,,
3_P_16S,272,,,,
3_P_17Q,393,,,,
3_P_18Q,456,,,,
3_P_19Q,311,,,,
3_P_20Q,457,,,,
3_P_21S,393,,,,
3_P_22S,456,,,,
3_P_23S,311,,,,
3_P_24S,457,,,,
3_P_25Q,351,,,,
3_P_26Q,271,,,,
3_P_27Q,260,,,,
3_P_28Q,287,x,,,
3_P_29S,351,,,,
3_P_30S,271,,,,
3_P_31S,260,,,,
3_P_32S,287,,,,
3_Q_1Q,330,,,,
3_Q_2Q,317,,,,
3_Q_3Q,347,,,,
3_Q_4Q,307,,,x,
3_Q_5S,330,,,,
3_Q_6S,317,,,,
3_Q_7S,347,,x,,
3_Q_8S,307,,,x,
3_Q_9Q,289,,,,
3_Q_10Q,348,,,,
3_Q_11P,116,,,,
3_Q_12P,118,,,,
3_Q_13S,289,x,,,
3_Q_14S,348,x,,,
3_Q_15S,116,,,,
3_Q_16S,118,,,,
3_Q_17P,114,,,,
3_Q_18P,113,,,,
3_Q_19P,117,,,,
3_Q_20P,446,117.5,,x,
3_Q_21S,114,,,,
3_Q_22S,113,,,,
3_Q_23S,117,,,,
3_Q_24S,446,117.5,x,,
3_Q_25P,447,,,,
3_Q_26P,88,,,,
3_Q_27P,188,,,,
3_Q_28P,219,107,,,
3_Q_29S,447,,,,
3_Q_30S,88,,,,
3_Q_31S,188,,,,
3_Q_32S,219,107,,,
4_R_1Q,328,,,,
4_R_2Q,371,,,,
3_R_3Q,1,,,,
3_R_4Q,370,,,,
4_R_5S,328,,,,
4_R_6S,371,,,,
3_R_7S,1,,,,
3_R_8S,370,,,,
4_R_9Q,322,,,,
4_R_10Q,324,,,,
3_R_11Q,325,,,,
3_R_12Q,,,,,
4_R_13S,322,,,,
4_R_14S,324,,,,
3_R_15S,325,,,,
3_R_16S,,,,,
4_R_17Q,341,,,,
4_R_18Q,324,343,,,
3_R_19Q,325,,,,
3_R_20Q,349,346,,,
4_R_21S,341,,,,
4_R_22S,324,343,,,
3_R_23S,325,,,,
3_R_24S,329,346,,,
4_R_25Q,337,,,,
4_R_26Q,319,,x,,
3_R_27Q,329,,,,
3_R_28Q,273,,,,
4_R_29S,337,,,,
4_R_30S,319,,,,
3_R_31S,329,,,,
